案例序号,本科层次,绩点分制,绩点,绩点排名百分比,雅思成绩,托福成绩,GRE,GRE写作,实习数量,科研数量,论文数量,缺失的数据都填0
1,985,5分制,4.88,1%,0,119,334,5,2,5,1,0
2,985,5分制,4.86,1%,8.5,0,335,5,3,3,0,0
3,211,5分制,4.86,1%,8,0,332,4.5,3,4,0,0
4,211,5分制,4.85,1%,0,118,333,4.5,2,5,0,0
5,985,5分制,4.82,2%,7,0,331,4,2,3,0,0
6,海本,5分制,4.8,2%,7.5,0,329,4.5,4,2,0,0
7,海本,5分制,4.78,2%,0,116,330,4,2,3,0,0
8,985,5分制,4.75,3%,0,115,330,4,2,3,0,0
9,双非,5分制,4.7,3%,8,0,334,5,1,3,0,0
10,双非,5分制,4.65,3%,7.5,0,328,4.5,4,1,0,0
11,中外合作,5分制,4.6,4%,0,112,0,0,3,1,0,0
12,中外合作,5分制,4.58,4%,0,113,325,4,1,4,1,0
13,985,5分制,4.55,5%,7.5,0,325,4,2,2,0,0
14,985,5分制,4.48,5%,7,0,320,3.5,3,1,0,0
15,211,5分制,4.45,6%,0,109,322,3.5,4,2,0,0
16,211,5分制,4.4,7%,0,110,326,3.5,4,2,0,0
17,211,5分制,4.38,6%,0,108,322,3.5,2,3,0,0
18,双非,5分制,4.35,7%,7,0,318,3.5,2,5,0,0
19,海本,5分制,4.3,8%,0,111,328,4.5,3,3,0,0
20,海本,5分制,4.28,7%,6.5,0,318,3,1,2,0,0
21,985,5分制,4.25,8%,7,0,0,0,2,1,0,0
22,211,5分制,4.2,9%,0,105,315,3,1,1,0,0
23,双非,5分制,4.15,8%,0,105,315,3,4,2,0,0
24,双非,5分制,4.1,10%,6.5,0,312,3,3,2,0,0
25,985,5分制,4.05,9%,7.5,0,312,3.5,2,3,0,0
26,985,5分制,4,11%,0,104,320,3.5,2,2,0,0
27,海本,5分制,3.98,10%,7,0,319,3.5,3,3,0,0
28,海本,5分制,3.95,12%,7,0,318,3.5,3,2,0,0
29,211,5分制,3.92,11%,0,102,310,3,3,1,0,0
30,211,5分制,3.9,13%,0,101,310,3,2,1,0,0
31,双非,5分制,3.88,14%,6.5,0,314,3,3,1,0,0
32,双非,5分制,3.85,14%,6.5,0,0,0,1,3,0,0
33,海本,5分制,3.82,13%,6.5,0,308,2.5,2,1,0,0
34,中外合作,5分制,3.8,15%,0,98,308,2.5,4,1,0,0
35,双非,5分制,3.75,15%,0,99,305,2.5,1,2,0,0
36,985,5分制,3.7,16%,6.5,0,315,3,2,1,0,0
37,中外合作,5分制,3.65,17%,6,0,302,2.5,3,1,0,0
38,211,5分制,3.6,18%,0,95,0,0,3,3,0,0
39,985,5分制,3.55,20%,0,96,0,0,2,3,0,0
40,海本,5分制,3.5,33%,6,0,312,3,1,1,0,0
41,海本,5分制,3.48,28%,0,95,307,2.5,2,1,0,0
42,211,5分制,3.45,25%,6.5,0,0,0,4,1,0,0
43,双非,5分制,3.4,41%,0,94,305,2.5,2,1,0,0
44,985,5分制,3.35,28%,6.5,0,0,0,3,1,0,0
45,双非,5分制,3.32,35%,0,93,298,2,1,1,0,0
46,211,5分制,3.3,46%,0,90,300,2.5,2,3,0,0
47,海本,5分制,3.22,42%,6,0,295,2,3,2,0,0
48,中外合作,5分制,3.25,31%,6,0,305,3,1,1,0,0
49,双非,5分制,3.2,39%,0,88,0,0,3,1,0,0
50,985,5分制,3.15,48%,0,90,0,0,2,2,0,0
51,985,5分制,3.12,50%,6,0,0,0,1,1,0,0
52,985,5分制,3.1,54%,5.5,0,302,2,2,1,0,0
53,211,5分制,3.05,55%,5.5,0,290,2,1,1,0,0
54,海本,5分制,3,68%,0,85,295,2,2,1,0,0
55,双非,5分制,2.98,60%,0,87,0,0,3,1,0,0
56,211,5分制,2.95,49%,6,0,0,0,1,1,0,0
57,211,5分制,2.92,62%,0,85,0,0,3,1,0,0
58,双非,5分制,2.9,72%,0,83,0,0,3,1,0,0
59,中外合作,5分制,2.85,68%,5.5,0,0,0,2,1,0,0
60,中外合作,5分制,2.8,64%,5.5,0,0,0,2,1,0,0
61,985,5分制,2.78,75%,0,84,0,0,1,1,0,0
62,985,5分制,2.75,81%,0,81,300,2.5,2,1,0,0
63,双非,5分制,2.7,55%,5.5,0,0,0,1,1,0,0
64,211,5分制,2.65,80%,6,0,0,0,3,1,0,0
65,双非,5分制,2.62,78%,0,82,0,0,2,1,0,0
66,211,5分制,2.6,86%,0,79,0,0,3,1,0,0
67,双非,5分制,2.58,82%,5.5,0,0,0,2,1,0,0
68,海本,5分制,2.55,85%,0,80,0,0,2,1,0,0
69,海本,5分制,2.5,71%,5.5,0,290,2,2,1,0,0
70,双非,5分制,2.45,88%,5.5,0,0,0,1,1,0,0
71,985,5分制,2.4,94%,0,0,0,0,1,1,0,0
72,985,5分制,2.35,92%,0,77,0,0,2,1,0,0
73,211,5分制,2.3,88%,0,75,0,0,3,1,0,0
74,985,5分制,2.28,96%,0,76,0,0,1,1,0,0
75,211,5分制,2.25,95%,5,0,0,0,3,1,0,0
76,中外合作,5分制,2.2,97%,5,0,0,0,1,1,0,0
77,双非,5分制,2.15,97%,0,73,0,0,1,1,0,0
78,双非,5分制,2.1,83%,0,0,0,0,2,1,0,0
79,中外合作,5分制,2.05,99%,5,0,0,0,2,1,0,0
80,双非,5分制,2,99%,0,70,0,0,1,1,0,0
